,title,author,hits,kudos,words,language,update,url
64,Freedom,yeaka,268,32,839,English,30 Jan 2022,/works/35418109
65,Liqueur,rdm2,805,25,"1,014",English,30 Jan 2022,/works/36758512
66,How to make a werewolf,TinyParrot,176,12,"1,518",English,29 Jan 2022,/works/36755251
67,Too Far Gone,Ranavern,153,22,"1,977",Русский,29 Jan 2022,/works/36742558
68,И целого мира мало,WTF Fantasy 2022 (Fantasy_Team),127,14,981,English,29 Jan 2022,/works/36741838
69,Pretty Girl,LittleWinter,14259,173,"284,019",English,24 Jan 2022,/works/36737665
70,Darkness Reborn,Ilikefear1_2,35,1,"1,934",中文-普通话 國語,21 Jan 2022,/works/27369118
71,【蘑菇安】psycho 精神病患,Diogenes1984,227,67,"1,906",English,21 Jan 2022,/works/36567337
72,A Shadow's Bliss,Verecunda,458,29,"2,188",English,20 Jan 2022,/works/36556555
73,Second Kidnapping,Thelien,2069,201,"24,749",English,09 Jan 2022,/works/35451073
74,It All Comes to Nothing so Easily,Lost_and_the_Damned,177,18,"1,644",English,30 Dec 2021,/works/34864153
75,Tumblr Prompts: Angbang,Niphredilien (Yellow_Feathered_Faerie),36589,1336,"72,565",English,28 Dec 2021,/works/36070987
76,The Ainur of Shadows,PurpleMango,362,42,"2,880",English,27 Dec 2021,/works/23646214
77,i need it deep down in my bones and in my soul,HunterByDayWhovianByNight,305,39,535,English,19 Dec 2021,/works/36009505
78,bladeofdorin,ohboromir,344,29,"3,401",English,17 Dec 2021,/users/bladeofdorin/gifts
79,Tolkien Secret Santa Advent (NSFW) Calendar Day 19: Wax Play,lemurious,107,7,475,English,16 Dec 2021,/works/35802154
