,roundinfo_id,fight_id,fight_round,fighter_id,kd,sig_str_made,sig_str_attempted,sig_str_percent,total_str_made,total_str_attempted,td_made,td_attempted,td_percent,pass,rev,head_attempted,head_made,body_attempted,body_made,leg_attempted,leg_made,distance_attempted,distance_made,clinch_attempted,clinch_made,ground_attempted
23306,14359,1,6376,0,16,37,43,16,37,0,0,0,0,0,23,6,2,1,12,9,37,16,0,0,0,0
23307,14359,1,6626,0,26,48,54,33,55,0,1,0,1,1,25,10,11,8,12,8,30,11,10,7,8,8
23308,14360,1,6460,0,12,31,38,19,38,0,5,0,0,0,14,1,9,5,8,6,25,7,6,5,0,0
23309,14360,1,5812,0,5,24,20,5,24,0,0,0,0,0,22,4,1,0,1,1,24,5,0,0,0,0
23310,14360,2,6460,0,21,44,47,38,70,2,3,66,0,0,33,13,8,6,3,2,28,7,0,0,16,14
23311,14360,2,5812,0,2,22,9,2,22,0,0,0,0,0,22,2,0,0,0,0,22,2,0,0,0,0
23312,14360,3,6460,0,9,26,34,15,35,2,3,66,0,0,20,4,6,5,0,0,12,3,0,0,14,6
23313,14360,3,5812,0,1,8,12,9,22,0,0,0,0,0,8,1,0,0,0,0,8,1,0,0,0,0
23314,14361,1,6181,1,10,19,52,34,46,1,1,100,0,0,17,9,0,0,2,1,4,3,0,0,15,7
23315,14361,1,6687,0,1,6,16,1,6,0,0,0,1,0,3,0,2,1,1,0,5,1,1,0,0,0
23316,14361,2,6181,0,3,8,37,43,53,2,3,66,0,0,8,3,0,0,0,0,0,0,0,0,8,3
23317,14361,2,6687,0,1,6,16,2,7,0,0,0,1,0,6,1,0,0,0,0,5,0,1,1,0,0
23318,14361,3,6181,0,7,9,77,30,36,1,1,100,2,0,7,5,0,0,2,2,1,0,5,4,3,3
23319,14361,3,6687,0,0,1,0,7,8,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
23320,14362,1,6689,0,14,32,43,17,37,2,3,66,0,0,31,14,1,0,0,0,25,11,2,1,5,2
23321,14362,1,6497,0,21,37,56,28,45,1,1,100,0,0,23,12,9,5,5,4,28,16,5,3,4,2
23322,14362,2,6689,0,13,25,52,14,26,0,1,0,0,0,20,9,4,3,1,1,15,7,10,6,0,0
23323,14362,2,6497,0,41,80,51,47,89,1,1,100,0,0,70,32,9,8,1,1,23,6,15,11,42,24
23324,14363,1,5584,0,17,49,34,24,58,1,1,100,0,0,43,12,0,0,6,5,37,10,2,2,10,5
23325,14363,1,6618,0,9,40,22,9,40,0,0,0,0,0,32,6,2,1,6,2,39,9,1,0,0,0
23326,14363,2,5584,0,13,51,25,23,61,0,1,0,1,0,47,10,2,2,2,1,47,10,0,0,4,3
23327,14363,2,6618,0,6,47,12,7,48,0,1,0,0,0,43,4,1,1,3,1,44,4,3,2,0,0
23328,14364,1,6781,0,20,41,48,22,43,0,0,0,0,0,35,16,3,1,3,3,36,16,5,4,0,0
23329,14364,1,6657,0,10,22,45,15,28,0,0,0,0,0,20,9,2,1,0,0,19,8,3,2,0,0
23330,14364,2,6781,0,7,19,36,10,22,0,0,0,0,0,17,6,1,1,1,0,18,6,1,1,0,0
